id,nome,artista_id,data_lancamento,gravadora
1,Dangerously in Love,1,2003-06-24,Columbia Records
2,After Hours,2,2020-03-20,Republic Records
3,21,3,2011-01-24,XL Recordings
4,A Rush of Blood to the Head,4,2002-08-26,Parlophone
5,Bang,5,2013-09-06,Warner Music Brasil
6,To Pimp a Butterfly,6,2015-03-15,Top Dawg Entertainment
7,1989,7,2014-10-27,Big Machine Records
8,Map of the Soul: 7,8,2020-02-21,Big Hit Entertainment
9,YHLQMDLG,9,2020-02-29,Rimas Entertainment
10,AM,10,2013-09-09,Domino Recording Company
